player_name,team_name,owner_name,owner_status,batting_points,bowling_points,fielding_points,playing_points,total_points
JA Duffy,Royal Challengers Bengaluru,,,0.0,142.0,8.0,16.0,166.0
JG Bethell,Royal Challengers Bengaluru,Sailesh,past,122.0,0.0,32.0,28.0,182.0
JM Cox,Royal Challengers Bengaluru,,,0.0,0.0,8.0,0.0,8.0
JM Sharma,Royal Challengers Bengaluru,Nishant,current,107.0,0.0,120.0,56.0,283.0
JR Hazlewood,Royal Challengers Bengaluru,Om,current,-2.0,322.0,40.0,44.0,404.0
KH Pandya,Royal Challengers Bengaluru,Sailesh,current,245.0,283.0,16.0,56.0,600.0
PD Salt,Royal Challengers Bengaluru,Vamsi,current,272.0,0.0,52.0,24.0,348.0
R Shepherd,Royal Challengers Bengaluru,Nishant,past,103.0,177.0,16.0,52.0,348.0
RM Patidar,Royal Challengers Bengaluru,Om,current,557.0,0.0,56.0,52.0,665.0
Rasikh Salam,Royal Challengers Bengaluru,,,3.0,388.0,8.0,40.0,439.0
Suyash Sharma,Royal Challengers Bengaluru,Vaibhav,current,0.0,231.0,0.0,48.0,279.0
TH David,Royal Challengers Bengaluru,Sailesh,current,386.0,0.0,16.0,56.0,458.0
V Kohli,Royal Challengers Bengaluru,Bhuvan,current,760.0,0.0,64.0,56.0,880.0
VR Iyer,Royal Challengers Bengaluru,Sailesh,past,222.0,0.0,8.0,20.0,250.0
Abhishek Sharma,Sunrisers Hyderabad,Sailesh,current,807.0,2.0,56.0,56.0,921.0
Aniket Verma,Sunrisers Hyderabad,Prabhanjan,past,105.0,0.0,40.0,40.0,185.0
D Madushanka,Sunrisers Hyderabad,,,0.0,25.0,16.0,4.0,45.0
DA Payne,Sunrisers Hyderabad,,,6.0,40.0,0.0,8.0,54.0
E Malinga,Sunrisers Hyderabad,Bhuvan,current,2.0,485.0,50.0,56.0,593.0
H Klaasen,Sunrisers Hyderabad,Vaibhav,current,824.0,0.0,96.0,56.0,976.0
HV Patel,Sunrisers Hyderabad,Bhuvan,past,10.0,-8.0,0.0,20.0,22.0
Harsh Dubey,Sunrisers Hyderabad,Bhuvan,current,13.0,204.0,32.0,32.0,281.0
Ishan Kishan,Sunrisers Hyderabad,Vaibhav,current,776.0,0.0,88.0,56.0,920.0
JD Unadkat,Sunrisers Hyderabad,,,4.0,102.0,24.0,16.0,146.0
LS Livingstone,Sunrisers Hyderabad,,,15.0,0.0,40.0,8.0,63.0
Nithish Kumar Reddy,Sunrisers Hyderabad,Prabhanjan,current,366.0,157.0,80.0,52.0,655.0
PJ Cummins,Sunrisers Hyderabad,Vamsi,current,36.0,214.0,16.0,28.0,294.0
PP Hinge,Sunrisers Hyderabad,,,3.0,271.0,24.0,24.0,322.0
R Smaran,Sunrisers Hyderabad,,,19.0,0.0,24.0,20.0,63.0
S Arora,Sunrisers Hyderabad,Bhuvan,current,162.0,0.0,24.0,52.0,238.0
Sakib Hussain,Sunrisers Hyderabad,Vamsi,current,0.0,417.0,8.0,40.0,465.0
Shivang Kumar,Sunrisers Hyderabad,Bhuvan,current,31.0,186.0,6.0,48.0,271.0
TM Head,Sunrisers Hyderabad,Bhuvan,current,547.0,25.0,0.0,56.0,628.0
