player_name,team_name,batting_points,bowling_points,fielding_points,playing_points,total_points
Shashank Singh,Punjab Kings,177.0,100.0,8.0,48.0,333.0
Suryansh Shedge,Punjab Kings,215.0,0.0,24.0,28.0,267.0
Vijaykumar Vyshak,Punjab Kings,2.0,207.0,20.0,40.0,269.0
Vishnu Vinod,Punjab Kings,18.0,0.0,0.0,4.0,22.0
XC Bartlett,Punjab Kings,33.0,101.0,80.0,36.0,250.0
YS Chahal,Punjab Kings,0.0,302.0,24.0,56.0,382.0
Yash Thakur,Punjab Kings,0.0,52.0,0.0,4.0,56.0
AF Milne,Rajasthan Royals,2.0,-6.0,0.0,4.0,0.0
Brijesh Sharma,Rajasthan Royals,2.0,367.0,8.0,44.0,421.0
D Ferreira,Rajasthan Royals,376.0,25.0,88.0,52.0,541.0
Dhruv Jurel,Rajasthan Royals,613.0,0.0,176.0,56.0,845.0
JC Archer,Rajasthan Royals,72.0,589.0,58.0,56.0,775.0
LG Pretorius,Rajasthan Royals,5.0,0.0,0.0,8.0,13.0
MD Shanaka,Rajasthan Royals,73.0,31.0,8.0,20.0,132.0
N Burger,Rajasthan Royals,15.0,261.0,24.0,44.0,344.0
R Parag,Rajasthan Royals,369.0,50.0,32.0,48.0,499.0
RA Jadeja,Rajasthan Royals,263.0,224.0,14.0,48.0,549.0
Ravi Bishnoi,Rajasthan Royals,-4.0,283.0,40.0,36.0,355.0
Ravi Singh,Rajasthan Royals,5.0,0.0,12.0,4.0,21.0
SB Dubey,Rajasthan Royals,111.0,0.0,0.0,28.0,139.0
SO Hetmyer,Rajasthan Royals,87.0,0.0,50.0,32.0,169.0
SS Mishra,Rajasthan Royals,0.0,-4.0,0.0,4.0,0.0
Sandeep Sharma,Rajasthan Royals,0.0,113.0,24.0,24.0,161.0
TU Deshpande,Rajasthan Royals,38.0,76.0,22.0,24.0,160.0
V Suryavanshi,Rajasthan Royals,859.0,0.0,8.0,56.0,923.0
YBK Jaiswal,Rajasthan Royals,551.0,0.0,44.0,56.0,651.0
Yash Raj Punja,Rajasthan Royals,0.0,214.0,0.0,24.0,238.0
Abhinandan Singh,Royal Challengers Bengaluru,0.0,63.0,16.0,12.0,91.0
B Kumar,Royal Challengers Bengaluru,39.0,676.0,14.0,56.0,785.0
D Padikkal,Royal Challengers Bengaluru,613.0,0.0,106.0,56.0,775.0
JA Duffy,Royal Challengers Bengaluru,0.0,142.0,8.0,16.0,166.0
JG Bethell,Royal Challengers Bengaluru,122.0,0.0,32.0,28.0,182.0
JM Cox,Royal Challengers Bengaluru,0.0,0.0,8.0,0.0,8.0
JM Sharma,Royal Challengers Bengaluru,107.0,0.0,120.0,56.0,283.0
JR Hazlewood,Royal Challengers Bengaluru,-2.0,322.0,40.0,44.0,404.0
KH Pandya,Royal Challengers Bengaluru,245.0,283.0,16.0,56.0,600.0
PD Salt,Royal Challengers Bengaluru,272.0,0.0,52.0,24.0,348.0
R Shepherd,Royal Challengers Bengaluru,103.0,177.0,16.0,52.0,348.0
RM Patidar,Royal Challengers Bengaluru,557.0,0.0,56.0,52.0,665.0
Rasikh Salam,Royal Challengers Bengaluru,3.0,388.0,8.0,40.0,439.0
Suyash Sharma,Royal Challengers Bengaluru,0.0,231.0,0.0,48.0,279.0
TH David,Royal Challengers Bengaluru,386.0,0.0,16.0,56.0,458.0
V Kohli,Royal Challengers Bengaluru,760.0,0.0,64.0,56.0,880.0
VR Iyer,Royal Challengers Bengaluru,222.0,0.0,8.0,20.0,250.0
Abhishek Sharma,Sunrisers Hyderabad,807.0,2.0,56.0,56.0,921.0
Aniket Verma,Sunrisers Hyderabad,105.0,0.0,40.0,40.0,185.0
D Madushanka,Sunrisers Hyderabad,0.0,25.0,16.0,4.0,45.0
DA Payne,Sunrisers Hyderabad,6.0,40.0,0.0,8.0,54.0
E Malinga,Sunrisers Hyderabad,2.0,485.0,50.0,56.0,593.0
H Klaasen,Sunrisers Hyderabad,824.0,0.0,96.0,56.0,976.0
HV Patel,Sunrisers Hyderabad,10.0,-8.0,0.0,20.0,22.0
Harsh Dubey,Sunrisers Hyderabad,13.0,204.0,32.0,32.0,281.0
Ishan Kishan,Sunrisers Hyderabad,776.0,0.0,88.0,56.0,920.0
JD Unadkat,Sunrisers Hyderabad,4.0,102.0,24.0,16.0,146.0
LS Livingstone,Sunrisers Hyderabad,15.0,0.0,40.0,8.0,63.0
Nithish Kumar Reddy,Sunrisers Hyderabad,366.0,157.0,80.0,52.0,655.0
PJ Cummins,Sunrisers Hyderabad,36.0,214.0,16.0,28.0,294.0
PP Hinge,Sunrisers Hyderabad,3.0,271.0,24.0,24.0,322.0
R Smaran,Sunrisers Hyderabad,19.0,0.0,24.0,20.0,63.0
S Arora,Sunrisers Hyderabad,162.0,0.0,24.0,52.0,238.0
Sakib Hussain,Sunrisers Hyderabad,0.0,417.0,8.0,40.0,465.0
Shivang Kumar,Sunrisers Hyderabad,31.0,186.0,6.0,48.0,271.0
TM Head,Sunrisers Hyderabad,547.0,25.0,0.0,56.0,628.0
